Value,Name-et-EE,Name-en-GB,Name-ru-RU,Label-et-EE,Label-en-GB,Label-ru-RU,Parent,Level,Description-et-EE,Description-en-GB,Description-ru-RU,IsGenerated,IsValid,ValidFrom,ValidTo
0037,,,,Harju maakond,Harju county,Харьюский уезд,,1,Harju maakond,Harju county,Харьюский уезд,,1,,
0141,,,,Anija vald,Anija rural municipality,Волость Ания,0037,2,"Harju maakond, Anija vald","Harju county, Anija rural municipality","Харьюский уезд, волость Ания",,1,,
1046,,,,Aavere küla,Aavere village,Деревня Аавере,0141,3,"Harju maakond, Anija vald, Aavere küla","Harju county, Anija rural municipality, Aavere village","Харьюский уезд, волость Ания, деревня Аавере",,1,,
1086,,,,Aegviidu alev,Aegviidu town,Городской посёлок Аэгвийду,0141,3,"Harju maakond, Anija vald, Aegviidu alev","Harju county, Anija rural municipality, Aegviidu town","Харьюский уезд, волость Ания, городской посёлок Аэгвийду",,1,,
1184,,,,Alavere küla,Alavere village,Деревня Алавере,0141,3,"Harju maakond, Anija vald, Alavere küla","Harju county, Anija rural municipality, Alavere village","Харьюский уезд, волость Ания, деревня Алавере",,1,,
1278,,,,Anija küla,Anija village,Деревня Ания,0141,3,"Harju maakond, Anija vald, Anija küla","Harju county, Anija rural municipality, Anija village","Харьюский уезд, волость Ания, деревня Ания",,1,,
1321,,,,Arava küla,Arava village,Деревня Арава,0141,3,"Harju maakond, Anija vald, Arava küla","Harju county, Anija rural municipality, Arava village","Харьюский уезд, волость Ания, деревня Арава",,1,,
1961,,,,Härmakosu küla,Härmakosu village,Деревня Хярмакозу,0141,3,"Harju maakond, Anija vald, Härmakosu küla","Harju county, Anija rural municipality, Härmakosu village","Харьюский уезд, волость Ания, деревня Хярмакозу",,1,,
2877,,,,Kaunissaare küla,Kaunissaare village,Деревня Кауниссааре,0141,3,"Harju maakond, Anija vald, Kaunissaare küla","Harju county, Anija rural municipality, Kaunissaare village","Харьюский уезд, волость Ания, деревня Кауниссааре",,1,,
2925,,,,Kehra küla,Kehra village,Деревня Кехра,0141,3,"Harju maakond, Anija vald, Kehra küla","Harju county, Anija rural municipality, Kehra village","Харьюский уезд, волость Ания, деревня Кехра",,1,,
2928,,,,Kehra linn,Kehra city,Город Кехра,0141,3,"Harju maakond, Anija vald, Kehra linn","Harju county, Anija rural municipality, Kehra city","Харьюский уезд, волость Ания, город Кехра",,1,,
3022,,,,Kihmla küla,Kihmla village,Деревня Кихмла,0141,3,"Harju maakond, Anija vald, Kihmla küla","Harju county, Anija rural municipality, Kihmla village","Харьюский уезд, волость Ания, деревня Кихмла",,1,,
3716,,,,Kuusemäe küla,Kuusemäe village,Деревня Кууземяэ,0141,3,"Harju maakond, Anija vald, Kuusemäe küla","Harju county, Anija rural municipality, Kuusemäe village","Харьюский уезд, волость Ания, деревня Кууземяэ",,1,,
4213,,,,Lehtmetsa küla,Lehtmetsa village,Деревня Лехтметса,0141,3,"Harju maakond, Anija vald, Lehtmetsa küla","Harju county, Anija rural municipality, Lehtmetsa village","Харьюский уезд, волость Ания, деревня Лехтметса",,1,,
4369,,,,Lilli küla,Lilli village,Деревня Лилли,0141,3,"Harju maakond, Anija vald, Lilli küla","Harju county, Anija rural municipality, Lilli village","Харьюский уезд, волость Ания, деревня Лилли",,1,,
4397,,,,Linnakse küla,Linnakse village,Деревня Линнаксе,0141,3,"Harju maakond, Anija vald, Linnakse küla","Harju county, Anija rural municipality, Linnakse village","Харьюский уезд, волость Ания, деревня Линнаксе",,1,,
4506,,,,Looküla,Looküla village,Деревня Лоокюла,0141,3,"Harju maakond, Anija vald, Looküla","Harju county, Anija rural municipality, Looküla village","Харьюский уезд, волость Ания, деревня Лоокюла",,1,,
4672,,,,Lükati küla,Lükati village,Деревня Люкати,0141,3,"Harju maakond, Anija vald, Lükati küla","Harju county, Anija rural municipality, Lükati village","Харьюский уезд, волость Ания, деревня Люкати",,1,,
5081,,,,Mustjõe küla,Mustjõe village,Деревня Мустйыэ,0141,3,"Harju maakond, Anija vald, Mustjõe küla","Harju county, Anija rural municipality, Mustjõe village","Харьюский уезд, волость Ания, деревня Мустйыэ",,1,,
5789,,,,Paasiku küla,Paasiku village,Деревня Паазику,0141,3,"Harju maakond, Anija vald, Paasiku küla","Harju county, Anija rural municipality, Paasiku village","Харьюский уезд, волость Ания, деревня Паазику",,1,,
6009,,,,Parila küla,Parila village,Деревня Парила,0141,3,"Harju maakond, Anija vald, Parila küla","Harju county, Anija rural municipality, Parila village","Харьюский уезд, волость Ания, деревня Парила",,1,,
6022,,,,Partsaare küla,Partsaare village,Деревня Партсааре,0141,3,"Harju maakond, Anija vald, Partsaare küla","Harju county, Anija rural municipality, Partsaare village","Харьюский уезд, волость Ания, деревня Партсааре",,1,,
6241,,,,Pikva küla,Pikva village,Деревня Пиква,0141,3,"Harju maakond, Anija vald, Pikva küla","Harju county, Anija rural municipality, Pikva village","Харьюский уезд, волость Ания, деревня Пиква",,1,,
6251,,,,Pillapalu küla,Pillapalu village,Деревня Пиллапалу,0141,3,"Harju maakond, Anija vald, Pillapalu küla","Harju county, Anija rural municipality, Pillapalu village","Харьюский уезд, волость Ания, деревня Пиллапалу",,1,,
6828,,,,Rasivere küla,Rasivere village,Деревня Разивере,0141,3,"Harju maakond, Anija vald, Rasivere küla","Harju county, Anija rural municipality, Rasivere village","Харьюский уезд, волость Ания, деревня Разивере",,1,,
6855,,,,Raudoja küla,Raudoja village,Деревня Раудоя,0141,3,"Harju maakond, Anija vald, Raudoja küla","Harju county, Anija rural municipality, Raudoja village","Харьюский уезд, волость Ания, деревня Раудоя",,1,,
7068,,,,Rooküla,Rooküla village,Деревня Роокюла,0141,3,"Harju maakond, Anija vald, Rooküla","Harju county, Anija rural municipality, Rooküla village","Харьюский уезд, волость Ания, деревня Роокюла",,1,,
7396,,,,Salumetsa küla,Salumetsa village,Деревня Салуметса,0141,3,"Harju maakond, Anija vald, Salumetsa küla","Harju county, Anija rural municipality, Salumetsa village","Харьюский уезд, волость Ания, деревня Салуметса",,1,,
7398,,,,Salumäe küla,Salumäe village,Деревня Салумяэ,0141,3,"Harju maakond, Anija vald, Salumäe küla","Harju county, Anija rural municipality, Salumäe village","Харьюский уезд, волость Ания, деревня Салумяэ",,1,,
7693,,,,Soodla küla,Soodla village,Деревня Соодла,0141,3,"Harju maakond, Anija vald, Soodla küla","Harju county, Anija rural municipality, Soodla village","Харьюский уезд, волость Ания, деревня Соодла",,1,,
8764,,,,Uuearu küla,Uuearu village,Деревня Ууэару,0141,3,"Harju maakond, Anija vald, Uuearu küla","Harju county, Anija rural municipality, Uuearu village","Харьюский уезд, волость Ания, деревня Ууэару",,1,,
9248,,,,Vetla küla,Vetla village,Деревня Ветла,0141,3,"Harju maakond, Anija vald, Vetla küla","Harju county, Anija rural municipality, Vetla village","Харьюский уезд, волость Ания, деревня Ветла",,1,,
9318,,,,Vikipalu küla,Vikipalu village,Деревня Википалу,0141,3,"Harju maakond, Anija vald, Vikipalu küla","Harju county, Anija rural municipality, Vikipalu village","Харьюский уезд, волость Ания, деревня Википалу",,1,,
9480,,,,Voose küla,Voose village,Деревня Воозе,0141,3,"Harju maakond, Anija vald, Voose küla","Harju county, Anija rural municipality, Voose village","Харьюский уезд, волость Ания, деревня Воозе",,1,,
9827,,,,Ülejõe küla,Ülejõe village,Деревня Юлейыэ,0141,3,"Harju maakond, Anija vald, Ülejõe küla","Harju county, Anija rural municipality, Ülejõe village","Харьюский уезд, волость Ания, деревня Юлейыэ",,1,,
0198,,,,Harku vald,Harku rural municipality,Волость Харку,0037,2,"Harju maakond, Harku vald","Harju county, Harku rural municipality","Харьюский уезд, волость Харку",,1,,
1084,,,,Adra küla,Adra village,Деревня Адра,0198,3,"Harju maakond, Harku vald, Adra küla","Harju county, Harku rural municipality, Adra village","Харьюский уезд, волость Харку, деревня Адра",,1,,
1774,,,,Harku alevik,Harku small town,Сельский посёлок Харку,0198,3,"Harju maakond, Harku vald, Harku alevik","Harju county, Harku rural municipality, Harku small town","Харьюский уезд, волость Харку, сельский посёлок Харку",,1,,
1776,,,,Harkujärve küla,Harkujärve village,Деревня Харкуярве,0198,3,"Harju maakond, Harku vald, Harkujärve küla","Harju county, Harku rural municipality, Harkujärve village","Харьюский уезд, волость Харку, деревня Харкуярве",,1,,
