"PA107: KESKMINE BRUTOKUUPALK, MEDIAAN JA TÖÖTAJATE ARV | Maakond, Vaatlusperiood ning Näitaja"

"Maakond","2021 Keskmine brutokuupalk, eurot","2021 Töötajate arv","2021 Brutokuupalga mediaan (V detsiil), eurot","2021 Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","2022 Keskmine brutokuupalk, eurot","2022 Töötajate arv","2022 Brutokuupalga mediaan (V detsiil), eurot","2022 Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %","2023 Keskmine brutokuupalk, eurot","2023 Töötajate arv","2023 Brutokuupalga mediaan (V detsiil), eurot","2023 Keskmise brutokuupalga muutus võrreldes eelmise aasta sama perioodiga, %"
"Eesti",1474,589152,1200,..,1645,608767,1340,11.6,1832,604065,1501,11.3
"Harju maakond",1658,314886,1340,..,1855,329108,1500,11.9,2057,328547,1685,10.9
"Tallinn",1724,242841,1378,..,1935,254714,1543,12.3,2152,254498,1749,11.2
"Harju maakond, v.a Tallinn",1441,72046,1235,..,1588,74394,1359,10.2,1738,74049,1495,9.5
"Hiiu maakond",1154,2937,1005,..,1259,2965,1128,9.1,1398,2894,1253,11.0
"Ida-Viru maakond",1145,43758,932,..,1270,44258,1037,10.9,1437,43290,1181,13.1
"Jõgeva maakond",1164,9261,1000,..,1284,9100,1125,10.3,1425,8822,1250,11.0
"Järva maakond",1268,11158,1099,..,1382,11217,1202,9.0,1527,11021,1341,10.5
"Lääne maakond",1182,7298,1048,..,1299,7355,1163,9.8,1420,7193,1258,9.3
"Lääne-Viru maakond",1194,21832,1029,..,1310,21927,1143,9.7,1458,21385,1265,11.3
"Põlva maakond",1167,7363,1016,..,1286,7385,1128,10.2,1422,7148,1241,10.6
"Pärnu maakond",1195,32400,1018,..,1329,33344,1144,11.2,1479,33314,1263,11.3
"Rapla maakond",1221,10523,1069,..,1340,10704,1174,9.7,1485,10431,1300,10.8
"Saare maakond",1143,11520,1000,..,1257,11781,1098,10.0,1395,11544,1204,10.9
"Tartu maakond",1474,77854,1234,..,1641,80798,1379,11.3,1837,80781,1557,12.0
"Valga maakond",1114,8598,954,..,1197,8697,1038,7.5,1348,8263,1173,12.6
"Viljandi maakond",1244,17768,1100,..,1374,17992,1211,10.5,1515,17541,1329,10.3
"Võru maakond",1160,11998,991,..,1277,12139,1098,10.2,1423,11894,1213,11.4
